"Instant0","0","0","273853992.319616","2023-09-05-14-33-12-0319","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0","0","True","False","none","L1tr","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0","0","True","False","none","L1trY","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0","0","True","False","none","L2f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0","0","True","False","none","L2tr","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0","0","True","False","none","L2trX","13:20:39 05/09/2023"
"","1","0.01","273858867.160401","2023-09-05-15-54-27-0160","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.01","0.01","True","False","none","L1tr","14:33:14 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.01","0.01","True","False","none","L1trY","14:33:14 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.01","0.01","True","False","none","L2f","14:33:14 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.01","0.01","True","False","none","L2tr","14:33:14 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.01","0.01","True","False","none","L2trX","14:33:14 05/09/2023",""
"","2","0.02","273864082.26528","2023-09-05-17-21-22-0265","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.02","0.02","True","False","none","L1tr","15:54:27 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.02","0.02","True","False","none","L1trY","15:54:27 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.02","0.02","True","False","none","L2f","15:54:27 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.02","0.02","True","False","none","L2tr","15:54:27 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.02","0.02","True","False","none","L2trX","15:54:27 05/09/2023",""
"","3","0.03","273869600.342447","2023-09-05-18-53-20-0342","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.03","0.03","True","False","none","L1tr","17:21:22 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.03","0.03","True","False","none","L1trY","17:21:22 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.03","0.03","True","False","none","L2f","17:21:22 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.03","0.03","True","False","none","L2tr","17:21:22 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.03","0.03","True","False","none","L2trX","17:21:22 05/09/2023",""
"","4","0.04","273875388.469719","2023-09-05-20-29-48-0469","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.04","0.04","True","False","none","L1tr","18:53:20 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.04","0.04","True","False","none","L1trY","18:53:20 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.04","0.04","True","False","none","L2f","18:53:20 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.04","0.04","True","False","none","L2tr","18:53:20 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.04","0.04","True","False","none","L2trX","18:53:20 05/09/2023",""
"","5","0.05","273881305.594519","2023-09-05-22-08-25-0594","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.05","0.05","True","False","none","L1tr","20:29:48 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.05","0.05","True","False","none","L1trY","20:29:48 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.05","0.05","True","False","none","L2f","20:29:48 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.05","0.05","True","False","none","L2tr","20:29:48 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.05","0.05","True","False","none","L2trX","20:29:48 05/09/2023",""
"","6","0.06","273917176.533728","2023-09-06-08-06-16-0533","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.06","0.06","True","False","none","L1tr","22:08:25 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.06","0.06","True","False","none","L1trY","22:08:25 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.06","0.06","True","False","none","L2f","22:08:25 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.06","0.06","True","False","none","L2tr","22:08:25 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.06","0.06","True","False","none","L2trX","22:08:25 05/09/2023",""
"","7","0.07","273923539.628939","2023-09-06-09-52-19-0628","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.07","0.07","True","False","none","L1tr","08:06:16 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.07","0.07","True","False","none","L1trY","08:06:16 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.07","0.07","True","False","none","L2f","08:06:16 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.07","0.07","True","False","none","L2tr","08:06:16 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.07","0.07","True","False","none","L2trX","08:06:16 06/09/2023",""
"","8","0.08","273929988.880882","2023-09-06-11-39-48-0880","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.08","0.08","True","False","none","L1tr","09:52:19 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.08","0.08","True","False","none","L1trY","09:52:19 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.08","0.08","True","False","none","L2f","09:52:19 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.08","0.08","True","False","none","L2tr","09:52:19 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.08","0.08","True","False","none","L2trX","09:52:19 06/09/2023",""
"","9","0.09","273936623.972927","2023-09-06-13-30-23-0972","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.09","0.09","True","False","none","L1tr","11:39:48 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.09","0.09","True","False","none","L1trY","11:39:48 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.09","0.09","True","False","none","L2f","11:39:48 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.09","0.09","True","False","none","L2tr","11:39:48 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.09","0.09","True","False","none","L2trX","11:39:48 06/09/2023",""
"","10","0.1","273943226.07953","2023-09-06-15-20-26-0079","","","0","0.01","Otro","0.4","ThermSoft.Hardware.Control.Execute.Script","0","True","False","False","Mejor_valor_Registrado","False","False","False","CompaPapIntegral","False","True","3","0","False","0","True","1","50","0.005","False","none","CompaPapIntegral","19:48:35 04/09/2023","","","CompaPapEstadistico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","100","1","BayesianOptimization","Maximum","0","False","none","CompaPapEstadistico","14:36:19 15/08/2023","","","CompaPapDeterministico","False","ThermSoft.Hardware.Control.Execute.Script","False","True","0","300","1","BigBung_BigCrunch","Maximum","0","False","none","CompaPapDeterministico","14:35:58 15/08/2023","4","True","True","True","True","False","False","False","False","False","","System.Collections.Generic.List`1[System.String]","ThermSoft.GeneradorPuntosEspaciales","True","10","Evaluaciones_en_intervalo","0.1","0.1","False","none","InstanciaConfig","13:20:10 05/09/2023","Non_Tilts_On_Lens","0.003","True","0.004","0.004","0.03","False","False","0","0","0","0","0","0","0","0","0","0","0","0","6.6E-07","True","False","1E-06","none","System.Double[,]","0.0005","0.0005","3E-05","False","none","CDVDMapa_Datos","15:18:27 04/09/2023","0.298147378596249","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1f","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","True","False","none","L1tr","13:30:23 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L1ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","True","False","none","L1trY","13:30:23 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","True","False","none","L2f","13:30:23 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","True","False","none","L2tr","13:30:24 06/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","False","False","none","L2ti","13:20:39 05/09/2023","ThermSoft.Simulacion.CabezalDVD.ElementoGenericoObservableBackSlash+Config","0.1","0.1","True","False","none","L2trX","13:30:24 06/09/2023",""
